Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Nov 27 2009,9:30p,Phoenix Suns,120,Minnesota Timberwolves,95,Box Score,,18225,
Fri Nov 27 2009,9:30p,Milwaukee Bucks,90,Oklahoma City Thunder,108,Box Score,,18203,
Fri Nov 27 2009,7:30p,Atlanta Hawks,100,Philadelphia 76ers,86,Box Score,,12984,
Fri Nov 27 2009,10:00p,Memphis Grizzlies,106,Portland Trail Blazers,96,Box Score,,20540,
Fri Nov 27 2009,10:00p,New Jersey Nets,96,Sacramento Kings,109,Box Score,,12725,
Sat Nov 28 2009,7:30p,Dallas Mavericks,95,Cleveland Cavaliers,111,Box Score,,20562,
Sat Nov 28 2009,10:30p,Los Angeles Lakers,130,Golden State Warriors,97,Box Score,,20001,
Sat Nov 28 2009,9:00p,Orlando Magic,100,Milwaukee Bucks,98,Box Score,,16128,
Sat Nov 28 2009,9:00p,Portland Trail Blazers,92,Utah Jazz,108,Box Score,,18051,
Sat Nov 28 2009,7:00p,Charlotte Bobcats,92,Washington Wizards,76,Box Score,,17311,
Sun Nov 29 2009,8:00p,Minnesota Timberwolves,106,Denver Nuggets,100,Box Score,,15147,
Sun Nov 29 2009,1:00p,Atlanta Hawks,88,Detroit Pistons,94,Box Score,,15273,
Sun Nov 29 2009,3:30p,Memphis Grizzlies,88,Los Angeles Clippers,98,Box Score,,14854,
Sun Nov 29 2009,9:30p,New Jersey Nets,87,Los Angeles Lakers,106,Box Score,,18997,
Sun Nov 29 2009,6:00p,Boston Celtics,92,Miami Heat,85,Box Score,,18104,
Sun Nov 29 2009,6:00p,Orlando Magic,114,New York Knicks,102,Box Score,,18861,
Sun Nov 29 2009,7:00p,Houston Rockets,100,Oklahoma City Thunder,91,Box Score,,18203,
Sun Nov 29 2009,9:00p,New Orleans Hornets,96,Sacramento Kings,112,Box Score,,11548,
Sun Nov 29 2009,7:00p,Philadelphia 76ers,89,San Antonio Spurs,97,Box Score,,17161,
Sun Nov 29 2009,1:00p,Phoenix Suns,113,Toronto Raptors,94,Box Score,,17721,
Mon Nov 30 2009,8:30p,Philadelphia 76ers,102,Dallas Mavericks,104,Box Score,,19783,
Mon Nov 30 2009,10:30p,Indiana Pacers,107,Golden State Warriors,126,Box Score,,16574,
Mon Nov 30 2009,8:00p,Chicago Bulls,97,Milwaukee Bucks,99,Box Score,,13684,
Mon Nov 30 2009,9:00p,Memphis Grizzlies,93,Utah Jazz,120,Box Score,,18469,
Tue Dec 1 2009,7:00p,Boston Celtics,108,Charlotte Bobcats,90,Box Score,,15129,
Tue Dec 1 2009,9:00p,Golden State Warriors,107,Denver Nuggets,135,Box Score,,14570,
Tue Dec 1 2009,10:30p,New Orleans Hornets,99,Los Angeles Lakers,110,Box Score,,18997,
Tue Dec 1 2009,7:30p,Phoenix Suns,99,New York Knicks,126,Box Score,,19763,
Tue Dec 1 2009,10:00p,Miami Heat,107,Portland Trail Blazers,100,Box Score,,20417,
Tue Dec 1 2009,7:00p,Washington Wizards,106,Toronto Raptors,102,Box Score,,15776,
Wed Dec 2 2009,7:00p,Toronto Raptors,115,Atlanta Hawks,146,Box Score,,12272,
Wed Dec 2 2009,8:00p,Detroit Pistons,85,Chicago Bulls,92,Box Score,,21523,
Wed Dec 2 2009,7:00p,Phoenix Suns,90,Cleveland Cavaliers,107,Box Score,,20562,
Wed Dec 2 2009,10:30p,Houston Rockets,102,Los Angeles Clippers,85,Box Score,,13836,
Wed Dec 2 2009,8:00p,Memphis Grizzlies,97,Minnesota Timberwolves,95,Box Score,,11408,
Wed Dec 2 2009,7:30p,Dallas Mavericks,117,New Jersey Nets,101,Box Score,,11689,
